Data,Dia,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
03/05/2021,107,2958,7095,13086,1384,69308,25007,16794,8273,35205,28332,78351,16388,12421,12138,17761,26834,14952,7149,802,10071,6734,118,4151,32532,3401,79318,6427
04/05/2021,108,2526,8213,11882,1785,73033,2289,15275,9991,30725,28282,80866,23226,12783,1365,18233,30217,20991,68605,88926,13468,5811,1318,40297,35747,6509,83656,6818
05/05/2021,109,3089,11374,11754,2938,77487,20551,12204,12274,31431,30548,141344,22031,13323,18963,2159,27195,24072,56981,76019,13785,5703,900,63302,34293,6551,114385,4113
06/05/2021,110,2484,12053,9923,2596,76575,14155,13744,14408,30708,29206,126095,20318,12187,20639,16601,26449,13399,32315,74771,12451,5787,938,65981,30175,4497,230797,911
07/05/2021,111,3068,11461,8215,4125,65251,15451,11384,16515,29132,25853,102086,17295,15533,18664,13521,24733,12338,35564,66046,9131,5265,1106,73898,25568,6294,245805,7657
08/05/2021,112,1908,851,7922,185,2459,25627,6607,16097,1081,10049,34141,8437,5821,7577,4488,12117,3404,18268,70371,3283,2404,1357,35364,1581,1063,124081,1837
09/05/2021,113,144,4147,453,5,521,3778,2272,157,154,1274,1145,466,31,384,215,4684,950,303,322,198,33,763,677,1127,385,4744,76
10/05/2021,114,3723,10064,12646,995,64439,18374,11194,1497,24016,2907,74932,12493,11632,18403,1458,27123,8345,30654,60068,15103,5998,3,57846,24196,5511,16647,4629
11/05/2021,115,3608,13575,12717,2797,73973,17799,932,22347,21701,29076,97978,1278,13824,22305,142,28788,10733,30837,72552,12111,6158,1486,72226,28382,9014,138688,4608
12/05/2021,116,3533,14803,11249,3331,50223,16001,5465,23194,20952,27326,84036,11146,16431,18426,16896,27724,10692,28579,61044,11286,58,913,56717,21999,7339,221702,3938
13/05/2021,117,3595,12775,10811,2487,48458,18692,10967,22366,21939,28099,85554,9155,13531,26453,14103,19697,10664,42207,61927,7725,6198,671,51112,20725,7661,161178,5022
14/05/2021,118,2602,12063,10528,4231,36655,13199,10718,22111,29057,19899,84066,12204,1255,23599,10211,23046,8094,39544,95231,19036,9413,1379,5886,19428,652,26274,5087
15/05/2021,119,3086,10242,8588,7673,41042,22481,41,19967,24654,5172,34203,17044,7216,12196,3306,17176,7745,13691,41188,145,1875,996,61684,19146,4462,116586,1523
16/05/2021,120,322,6173,348,788,15995,3531,1903,183,1454,397,5437,7683,3043,12832,4517,9653,1088,619,11066,4979,9,404,2318,6691,2038,13864,4
17/05/2021,121,3061,13144,10377,2651,52946,14282,6501,18713,28463,18559,63423,12438,979,1372,8785,28608,8865,34878,68998,18619,3685,44,68135,18424,7688,187087,4591
18/05/2021,122,2774,17319,11296,4048,46196,14676,7034,29774,31155,19918,97032,27045,15198,20358,14521,2765,13202,33809,73243,29683,8197,915,53641,21495,9127,236381,5037
19/05/2021,123,2515,1759,16672,1123,40279,15164,8119,33083,27089,22453,9983,31113,12901,23853,20815,2397,12683,44293,76668,2874,7902,1609,51381,24068,8036,185457,4788
20/05/2021,124,3163,1763,16102,1014,44932,26143,9368,38229,30176,20587,98676,22804,14768,26345,24206,27519,11187,53661,66403,20771,7823,1135,118602,22471,8199,191678,5753
21/05/2021,125,1894,16939,16096,1918,49618,18026,9479,37708,27752,15949,81308,1554,13187,24958,13383,26562,10988,49061,82725,16421,9861,829,80146,2009,5927,241246,3267
22/05/2021,126,584,8989,11988,648,22055,1959,647,29538,783,6159,23457,5989,5701,11206,4206,15904,4121,15283,45848,7044,2241,787,29123,11308,1259,118839,571
23/05/2021,127,68,4375,482,19,621,4612,791,3826,678,2232,5503,1595,144,281,438,7552,2182,2029,101,1257,279,342,721,6468,373,11213,13
24/05/2021,128,1551,13951,16146,1333,26982,17482,9228,18737,20738,16268,57434,6551,9999,25469,7432,25337,8179,41961,76779,13884,3921,2,55328,18922,4929,226948,3401
25/05/2021,129,2371,19184,1466,1145,39922,18415,6535,20392,22928,18977,7423,12639,11111,38434,8912,29498,9934,50827,74885,12687,4744,1489,55292,25548,8048,196304,4187
