UF,Data,Quantidade
CE,15/04/2021,30243
CE,16/04/2021,32354
CE,17/04/2021,3419
CE,18/04/2021,6504
CE,19/04/2021,37697
CE,20/04/2021,48568
CE,21/04/2021,31659
CE,22/04/2021,38221
CE,23/04/2021,29926
CE,24/04/2021,33308
CE,25/04/2021,891
CE,26/04/2021,32572
CE,27/04/2021,39601
CE,28/04/2021,30255
CE,29/04/2021,22373
CE,30/04/2021,13236
CE,01/05/2021,15292
CE,02/05/2021,7238
CE,03/05/2021,25007
CE,04/05/2021,2289
CE,05/05/2021,20551
CE,06/05/2021,14155
CE,07/05/2021,15451
CE,08/05/2021,25627
CE,09/05/2021,3778
CE,10/05/2021,18374
CE,11/05/2021,17799
CE,12/05/2021,16001
CE,13/05/2021,18692
CE,14/05/2021,13199
CE,15/05/2021,22481
CE,16/05/2021,3531
CE,17/05/2021,14282
CE,18/05/2021,14676
CE,19/05/2021,15164
CE,20/05/2021,26143
CE,21/05/2021,18026
CE,22/05/2021,1959
CE,23/05/2021,4612
CE,24/05/2021,17482
CE,25/05/2021,18415
CE,26/05/2021,15658
CE,27/05/2021,15957
CE,28/05/2021,18073
CE,29/05/2021,26628
CE,30/05/2021,4596
CE,31/05/2021,16742
CE,01/06/2021,1876
CE,02/06/2021,25162
CE,03/06/2021,17118
CE,04/06/2021,16853
CE,05/06/2021,12748
CE,06/06/2021,7616
CE,07/06/2021,17583
CE,08/06/2021,20859
CE,09/06/2021,2102
CE,10/06/2021,27742
CE,11/06/2021,25393
CE,12/06/2021,4078
CE,13/06/2021,10397
CE,14/06/2021,20476
CE,15/06/2021,21059
CE,16/06/2021,24048
CE,17/06/2021,21219
CE,18/06/2021,30356
CE,19/06/2021,35479
CE,20/06/2021,8901
CE,21/06/2021,23674
CE,22/06/2021,23667
CE,23/06/2021,19859
CE,24/06/2021,17908
CE,25/06/2021,1432
DF,17/01/2021,5
DF,18/01/2021,8
DF,19/01/2021,2681
DF,20/01/2021,5888
DF,21/01/2021,4226
DF,22/01/2021,3423
DF,23/01/2021,15
DF,24/01/2021,2
DF,25/01/2021,3053
DF,26/01/2021,5959
DF,27/01/2021,7721
DF,28/01/2021,64
DF,29/01/2021,7033
DF,30/01/2021,100
DF,31/01/2021,25
DF,01/02/2021,14141
DF,02/02/2021,17254
DF,03/02/2021,8026
DF,04/02/2021,5675
DF,05/02/2021,4406
DF,06/02/2021,2
DF,07/02/2021,4
DF,08/02/2021,2504
DF,09/02/2021,5625
DF,10/02/2021,6087
DF,11/02/2021,5207
DF,12/02/2021,4124
DF,13/02/2021,76
DF,14/02/2021,37
DF,15/02/2021,2
DF,16/02/2021,14
DF,17/02/2021,1679
DF,18/02/2021,5839
DF,19/02/2021,5309
DF,20/02/2021,23
DF,21/02/2021,26
DF,22/02/2021,506
DF,23/02/2021,5015
DF,24/02/2021,5131
DF,25/02/2021,4911
DF,26/02/2021,14333
DF,27/02/2021,13
DF,28/02/2021,15
DF,01/03/2021,12687
DF,02/03/2021,6864
DF,03/03/2021,344
DF,04/03/2021,7425
DF,05/03/2021,6807
DF,06/03/2021,381
DF,07/03/2021,5
DF,08/03/2021,2646
DF,09/03/2021,3354
DF,10/03/2021,2653
DF,11/03/2021,8682
DF,12/03/2021,4095
DF,13/03/2021,216
DF,14/03/2021,32
DF,15/03/2021,2139
DF,16/03/2021,3172
DF,17/03/2021,2192
DF,18/03/2021,1706
DF,19/03/2021,6395
DF,20/03/2021,675
DF,21/03/2021,497
DF,22/03/2021,21052
DF,23/03/2021,16291
DF,24/03/2021,5632
DF,25/03/2021,3268
DF,26/03/2021,26298
DF,27/03/2021,9427
DF,28/03/2021,735
DF,29/03/2021,10878
DF,30/03/2021,9543
DF,31/03/2021,6041
DF,01/04/2021,6248
DF,02/04/2021,12
DF,03/04/2021,3168
DF,04/04/2021,361
DF,05/04/2021,7853
DF,06/04/2021,4186
DF,07/04/2021,3232
